Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1mXGsNIGDFDNfpY9wgoLy6,"Best Wel Een Ding","Crane III","Kraantje Pappie",2016-10-28,169562,37,true,joeynoord,2025-11-10T20:12:27Z,"nederpop,hollands","Noah's Ark BV",0.757,0.936,11,-4.472,1,0.198,0.185,0,0.333,0.52,144.958,4
spotify:track:285HeuLxsngjFn4GGegGNm,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)","Listen","David Guetta;AFROJACK;Bebe Rexha;Nicki Minaj",2014-11-10,192560,73,false,joeynoord,2025-11-10T20:16:18Z,"edm,big room","Parlophone (France)",0.596,0.73,9,-4.091,1,0.151,0.24,0,0.325,0.525,85.979,4
spotify:track:2no9x9FRytP9PnB3CQPYSs,"One Night Stand (feat. Sevn Alias)","LOS","B-Brave;Sevn Alias",2016-05-27,195114,54,false,joeynoord,2025-11-10T20:16:33Z,"","La Foux",0.754,0.628,8,-6.277,1,0.133,0.0267,0.00000961,0.0896,0.269,139.859,4
spotify:track:5Nm9ERjJZ5oyfXZTECKmRt,"Stay With Me","In The Lonely Hour","Sam Smith",2014-05-26,172723,82,false,joeynoord,2025-11-10T20:17:43Z,"soft pop","PLG - Capitol",0.413,0.42,0,-6.444,1,0.0416,0.588,0.0000639,0.11,0.185,84.126,4
spotify:track:2LcmbuYX7tyR4DWy3b273L,"Noodgeval","Betaalbare Romantiek","Goldband",2021-08-13,214383,59,true,joeynoord,2025-11-10T20:17:51Z,"nederpop,hollands","Goldband",0.856,0.89,2,-6.463,0,0.0627,0.131,0.0143,0.0614,0.77,139.003,4
spotify:track:4pdhkd4q0efLlNXGFWHR99,"Slaap","De Fik Erin","The Opposites",2008-01-01,212706,50,false,joeynoord,2025-11-10T20:18:11Z,"nederpop,hollands","Top Notch Music BV",0.699,0.871,10,-3.256,0,0.144,0.0558,0,0.144,0.73,100.055,4
spotify:track:6JZYMxvcoeLD4IifJPvDux,"Dirty Diana","Number Ones","Michael Jackson",1979,280600,72,false,joeynoord,2025-11-10T20:18:32Z,"","Epic",0.741,0.799,3,-4.56,1,0.062,0.239,0.000795,0.421,0.348,131.383,4
spotify:track:1Hv1VTm8zeOeybub15mA2R,"Smooth Operator - Single Version","The Best of Sade","Sade",1994-10-31,258693,81,false,joeynoord,2025-11-10T20:18:39Z,"","Epic",0.734,0.58,9,-6.619,0,0.0321,0.238,0.0006,0.0298,0.962,119.336,4
spotify:track:5qaEfEh1AtSdrdrByCP7qR,"Demons","Night Visions","Imagine Dragons",2012-09-04,177506,84,false,joeynoord,2025-11-10T20:18:44Z,"","Kid Ina Korner / Interscope",0.5,0.71,3,-3.015,1,0.0339,0.19,0.00025,0.269,0.419,89.929,4
spotify:track:3WBbgNlgrzVKkRiiBrQAJJ,"Hello","SMASH","Martin Solveig;Dragonette",2011-08-02,281589,47,false,joeynoord,2025-11-10T20:19:25Z,"franse house","Spinnin' Records",0.668,0.937,3,-4.201,1,0.032,0.0252,0.0161,0.0429,0.477,127.988,4
